name,slug,description,shortDescription,category,link,featured,difficulty,score,tier,bestFor,tags
ChatGPT,chatgpt,"Advanced conversational AI trained to follow instructions and provide detailed responses for writing, coding, and nuanced conversation.","Advanced conversational AI for writing, coding & more",text-writing,https://chat.openai.com,True,Beginner,98,core,"Anyone needing a versatile, general-purpose AI assistant.","trending, smart, conversational"
Midjourney,midjourney,Generative AI program that creates stunning images from natural language descriptions with distinct artistic styles.,Create stunning AI art from text descriptions,image-generation,https://midjourney.com,True,Intermediate,96,core,"Designers, artists, and marketers who want photorealistic or artistic images.","trending, creative, design"
GitHub Copilot,github-copilot,"AI-powered code completion tool developed by GitHub and OpenAI, suggesting code and functions in real-time in your editor.",AI pair programmer that helps you write code faster,code-dev,https://github.com/features/copilot,True,Beginner,94,core,Developers wanting to eliminate boilerplate coding tasks.,"coding, fast"
Runway ML,runway-ml,"Creative AI platform providing tools for video generation, image editing, and motion tracking for visual effects workflows.",AI-powered video generation and creative tools,video-audio,https://runwayml.com,True,Intermediate,91,core,Filmmakers and social media creators looking for cutting-edge video FX.,"video, magic"
Notion AI,notion-ai,"AI supercharging the Notion workspace with writing assistance, summarization, brainstorming, and action item extraction.","AI-powered workspace for notes, docs & projects",productivity,https://notion.so/product/ai,False,Beginner,88,core,Teams and individuals already using Notion for their wiki or tasks.,"fast, docs"
Perplexity AI,perplexity-ai,"AI-powered research and search engine providing cited, accurate answers by synthesizing information from across the web.",AI search engine with real-time cited answers,research,https://perplexity.ai,True,Beginner,95,core,"Researchers, students, and professionals needing verified facts quickly.","smart, real-time"
Figma AI,figma-ai,AI integrated directly into Figma for enhanced UI/UX prototyping through generative layouts and content suggestions.,AI-enhanced design tool for UI/UX workflows,design,https://figma.com,False,Intermediate,85,core,UI/UX designers looking to speed up wireframing and prototyping.,"design, workflow"
Julius AI,julius-ai,"Powerful data analysis tool letting you analyze data using natural language, auto-generating charts and Python scripts.",Natural language data analysis and visualization,data-analytics,https://julius.ai,False,Intermediate,87,core,"Marketers, analysts, and students who need data insights without writing code.","data, smart"
Claude,claude,"Anthropic's advanced AI assistant known for safety, helpfulness, nuanced understanding, and an enormous context window for large documents.",Safe & helpful AI assistant with large context window,text-writing,https://claude.ai,True,Beginner,97,core,"Writers, coders, and professionals who need to process massive documents.","trending, writing, smart"
DALL·E 3,dall-e-3,"OpenAI image generator producing highly detailed and accurate images from text descriptions, integrated within ChatGPT.",Advanced text-to-image AI with precise prompt understanding,image-generation,https://openai.com/dall-e-3,False,Beginner,92,core,"Casual users and marketers needing quick, highly specific illustrations.","magic, design"
Cursor,cursor,"AI-first code editor with codebase-aware chat, inline editing, multi-file refactoring, and bug detection built into a VS Code fork.",AI-first code editor for modern development,code-dev,https://cursor.sh,True,Intermediate,96,core,Software engineers looking for the next evolution of Copilot.,"trending, coding, fast"
ElevenLabs,elevenlabs,"Leading AI voice platform creating ultra-realistic text-to-speech with nuanced inflections, voice cloning, and emotion control.",Ultra-realistic AI voice generation & cloning,video-audio,https://elevenlabs.io,False,Beginner,90,core,"Content creators, game devs, and authors needing high-end synthetic voices.","audio, magic"
Jasper,jasper,"AI content creation platform for marketing teams with brand voice training, campaign management, and SEO optimization.",AI marketing content creation platform,text-writing,https://jasper.ai,False,Intermediate,83,core,Marketing teams and agencies managing multiple campaigns and brand voices.,"marketing, writing"
Stable Diffusion,stable-diffusion,"Open-source AI image generation model that can run locally, supporting text-to-image, img2img, and ControlNet pipelines.",Open-source AI image generation you can run locally,image-generation,https://stability.ai,False,Advanced,89,core,Technical artists and developers wanting absolute control over generation.,"open-source, design, technical"
Gamma,gamma,AI-powered presentation and document tool transforming ideas into polished presentations through iterative chats and templates.,AI-powered presentations & documents in seconds,productivity,https://gamma.app,False,Beginner,86,core,"Founders, sales teams, and students needing gorgeous slide decks fast.","fast, presentations"
Suno AI,suno-ai,Music generation platform creating original songs complete with vocals and instrumentation from simple text prompts.,Generate complete original songs with AI,video-audio,https://suno.ai,False,Beginner,93,core,"Musicians prototyping ideas, marketers needing royalty-free music.","audio, trending, magic"
Raycast AI,raycast-ai,Blazingly fast macOS launcher with native AI integration for querying LLMs instantly from any screen via global hotkey.,Ultra-fast macOS launcher with native AI integration,productivity,https://raycast.com,False,Beginner,95,curated,macOS power users and developers.,"fast, workflow"
Mem,mem,"Minimalist notes app using AI to automatically organize your workspace, connecting related thoughts without folders or tags.",AI-powered workspace that organizes itself,productivity,https://mem.ai,False,Intermediate,87,curated,People who take scattered notes and hate organizing them.,"smart, docs"
Otter.ai,otter-ai,"AI meeting assistant that records audio, writes notes, captures slides, and generates summaries for Zoom, Meet, and Teams calls.",AI meeting assistant and live transcription,productivity,https://otter.ai,False,Beginner,89,curated,Professionals and students who attend numerous meetings or lectures.,"conversational, fast"
Arc Max,arc-max,"Suite of AI features built into the Arc Browser for automatic tab renaming, page summarization, and chatting with page contents.",The browser that thinks with you,productivity,https://arc.net/max,False,Beginner,93,curated,"Designers, developers, and power users who live inside their web browser.","real-time, fast"
Photoroom,photoroom,Lightning-fast AI photo editing specializing in instant background removal and studio-quality product background generation.,Instant AI background removal & product photography,design,https://photoroom.com,False,Beginner,91,curated,E-commerce sellers and social media marketers.,"e-commerce, magic"
Magnific AI,magnific-ai,"Advanced AI image upscaler that hallucinates highly realistic details, completely reimagining low-res imagery rather than just enlarging pixels.",The most advanced AI image upscaler & enhancer,image-generation,https://magnific.ai,False,Intermediate,88,curated,"Professional artists, 3D designers, and high-end AI creators.","magic, design"
Canva Magic Studio,canva-magic-studio,"Massive suite of AI tools integrated into Canva including Magic Switch, Magic Media, Magic Edit, and Magic Write for rapid design.",All-in-one AI design tools for everybody,design,https://canva.com/magic,True,Beginner,96,curated,"Small business owners, marketers, and non-designers.","design, fast"
Krea,krea-ai,Real-time AI generation portal letting you draw shapes or upload webcam feeds and watch AI render photorealistic imagery instantly.,Real-time AI rendering and generation,image-generation,https://krea.ai,False,Intermediate,92,curated,"Digital artists, concept artists, and live visual performers.","real-time, magic"
v0 by Vercel,v0-vercel,Generative UI system by Vercel generating React and Tailwind CSS components from text descriptions with live preview.,Generative UI for React & Tailwind,code-dev,https://v0.dev,True,Intermediate,97,curated,Frontend developers and designers looking to speed up prototyping.,"coding, design"
Phind,phind,"Intelligent search engine tailored for developers, providing long-form technical answers with code snippets from current documentation.",The AI search engine for developers,code-dev,https://phind.com,False,Beginner,94,curated,Full-stack developers debugging active issues.,"coding, smart"
Warp,warp-terminal,"Blazingly fast Rust-based terminal with natural language to bash conversion, block-based outputs, and collaborative terminals.",Modern Rust-based terminal with AI built-in,code-dev,https://warp.dev,False,Intermediate,90,curated,Developers seeking a massive UX upgrade from standard Terminal.,"technical, fast"
Copy.ai,copy-ai,"AI platform for marketing copy, sales outreach, and blog posts with workflow automation and brand voice training for GTM teams.",AI workflows for Go-To-Market and sales teams,text-writing,https://copy.ai,False,Intermediate,85,curated,"Sales teams, marketing agencies, and growth hackers.","marketing, writing"
QuillBot,quillbot,"Heavy-duty paraphrasing tool reshaping, summarizing, and altering tone of existing text with synonym sliders and grammar checking.",Advanced paraphrasing and summarizing tool,text-writing,https://quillbot.com,False,Beginner,86,curated,"Students, academics, and non-native English speakers.","writing, fast"
Descript,descript,Paradigm-shifting video and audio editor that transcribes media into a script so you edit video by editing text.,Edit video and audio as easily as text,video-audio,https://descript.com,True,Intermediate,95,curated,"Podcasters, YouTubers, and content marketers.","video, audio"
HeyGen,heygen,Creates highly realistic AI avatars and videos from typed scripts with photorealistic lip-sync and voice cloning.,AI video generation with photorealistic avatars,video-audio,https://heygen.com,False,Beginner,89,curated,"Corporate communications, training coordinators, and outbound sales.","marketing, video"
Consensus,consensus,AI search engine built to answer questions exclusively using peer-reviewed research papers with 200M+ papers indexed.,Evidence-based AI search engine for research,research,https://consensus.app,False,Beginner,92,curated,"Doctors, students, researchers, and rigorous fact-checkers.","academic, smart"
Browse AI,browse-ai,No-code web scraping platform where you record yourself clicking a website to train an AI robot for data extraction.,No-code web scraping and data extraction,data-analytics,https://browse.ai,False,Intermediate,84,curated,"Data analysts, sales teams building lists, and growth marketers.","data, technical"
Adobe Firefly,adobe-firefly,"Adobe's generative AI tool built directly into Creative Cloud apps for text-to-image generation, generative fill, and text effects.",Generative AI built into Adobe Creative Cloud,image-generation,https://firefly.adobe.com,True,Beginner,93,core,Creative professionals already in the Adobe ecosystem.,"design, creative"
Gemini,google-gemini,"Google's flagship multimodal AI assistant capable of reasoning across text, images, video, audio, and code.",Google's multimodal AI assistant,text-writing,https://gemini.google.com,True,Beginner,94,core,Users integrated in Google Workspace looking for a smart AI companion.,"trending, smart, conversational"
Mistral,mistral-ai,Efficient open-source LLM from a French AI startup known for punching above its weight class on reasoning tasks.,Efficient open-source large language model,text-writing,https://mistral.ai,False,Advanced,88,core,Developers and researchers who want a powerful self-hosted LLM.,"open-source, smart"
Llama 3,meta-llama,"Meta's open-source large language model family, freely available for research and commercial use with strong reasoning capabilities.",Meta's open-source LLM for developers,text-writing,https://llama.meta.com,False,Advanced,90,core,"Developers and researchers wanting a free, self-hosted AI backbone.","open-source, technical"
Bolt.new,bolt-new,"StackBlitz's in-browser AI coding assistant that can scaffold, run, and deploy full-stack web apps from a single prompt.",Full-stack AI app builder in the browser,code-dev,https://bolt.new,True,Intermediate,95,core,Developers and entrepreneurs wanting to ship MVPs extremely fast.,"trending, coding, fast"
Lovable,lovable,"AI-powered web app builder that generates full-stack React apps from natural language, with Supabase integration.",Generate full-stack apps with natural language,code-dev,https://lovable.dev,True,Beginner,93,core,Non-technical founders and designers who want to ship functional products.,"trending, coding"
Replit AI,replit-ai,"AI-powered coding environment in the browser with code generation, debugging, and instant deployment built in.",AI-powered browser IDE with instant deployment,code-dev,https://replit.com,False,Beginner,89,core,Students and beginners learning to code or prototyping quickly.,"coding, fast"
Windsurf,windsurf,Codeium's AI-first IDE with agentic Cascade flow that can autonomously navigate and edit codebases over multiple steps.,Agentic AI IDE by Codeium,code-dev,https://codeium.com/windsurf,False,Intermediate,91,core,Engineers who want deep agentic AI assistance in their editor.,"coding, technical"
Tabnine,tabnine,"AI code completion tool that can run entirely locally, keeping code private while providing intelligent suggestions.",Privacy-first AI code completion,code-dev,https://tabnine.com,False,Beginner,85,core,Enterprise teams with strict data privacy requirements.,"coding, technical"
Amazon CodeWhisperer,codewhisperer,AWS's AI coding assistant integrated with AWS services for cloud-aware code suggestions and security scanning.,AWS-integrated AI coding assistant,code-dev,https://aws.amazon.com/codewhisperer,False,Intermediate,83,core,Teams building heavily on AWS infrastructure.,"coding, technical"
Grok,grok-xai,"xAI's AI assistant integrated into X (Twitter) with real-time web access and a rebellious, less filtered personality.",Real-time AI assistant inside X (Twitter),text-writing,https://grok.x.ai,False,Beginner,85,core,Twitter/X power users who want AI integrated in their social feed.,"trending, smart, real-time"
DeepSeek,deepseek,Chinese open-source AI model that shocked the world with GPT-4-level reasoning at a fraction of the training cost.,High-performance open-source reasoning model,text-writing,https://deepseek.com,False,Intermediate,91,core,Developers and researchers looking for a high-capability open model.,"trending, smart, open-source"
Cohere,cohere,"Enterprise AI platform specializing in text generation, summarization, and semantic search APIs for businesses.",Enterprise NLP APIs for text and search,text-writing,https://cohere.com,False,Advanced,84,core,Enterprise developers building NLP-powered products.,"technical, smart"
Writer,writer-ai,"Enterprise AI writing platform with brand voice training, AI guardrails, and workflow automation for marketing and content teams.",Enterprise AI writing platform with brand controls,text-writing,https://writer.com,False,Intermediate,82,core,Large marketing teams needing consistent brand voice at scale.,"writing, marketing"
Sudowrite,sudowrite,"AI writing tool specifically crafted for fiction writers, offering story expansion, describe tools, and prose rewrites.",AI writing assistant built for fiction authors,text-writing,https://sudowrite.com,False,Beginner,84,curated,"Novelists, screenwriters, and creative fiction writers.","writing, creative"
Wordtune,wordtune,"AI writing companion that rewrites and rephrases sentences to improve clarity, tone, and style in real time.",AI sentence rewriter for clearer writing,text-writing,https://wordtune.com,False,Beginner,83,curated,Professionals and students wanting to improve their writing style.,"writing, fast"
Grammarly,grammarly,"AI writing assistant checking grammar, spelling, tone, clarity, and style across all platforms via browser extension.",AI grammar and style writing assistant,text-writing,https://grammarly.com,False,Beginner,89,core,Anyone who writes professionally and wants to eliminate errors.,"writing, fast"
Hemingway Editor,hemingway-editor,"Writing tool that highlights complex sentences, adverbs, and passive voice to enforce clear, bold Hemingway-style prose.","Writing clarity checker for bold, clean prose",text-writing,https://hemingwayapp.com,False,Beginner,80,curated,"Bloggers and journalists aiming for concise, readable writing.",writing
Ink for All,ink-for-all,"SEO-focused AI writing platform with real-time SEO scoring, keyword optimization, and content brief generation.",AI writing with real-time SEO optimization,text-writing,https://inkforall.com,False,Intermediate,78,curated,SEO writers and content marketers optimizing for search rankings.,"writing, marketing"
Pika Labs,pika-labs,AI video generation platform creating cinematic video clips from text and image prompts with motion control.,Text and image to video generation,video-audio,https://pika.art,False,Beginner,88,core,Marketers and creators who need short cinematic AI video clips.,"video, creative"
Kling AI,kling-ai,"Chinese AI video generator from Kuaishou creating high-quality, realistic video from text prompts with strong physics simulation.",High-quality AI video generation from text,video-audio,https://klingai.com,False,Intermediate,90,core,"Content creators needing high-fidelity, physics-accurate video clips.","video, magic"
Luma AI,luma-ai,AI 3D capture and video generation tool with Dream Machine for text-to-video and photorealistic NeRF scene capture.,AI 3D capture and dream machine video generation,video-audio,https://lumalabs.ai,False,Intermediate,89,core,"3D artists, product designers, and video creators.","video, creative, technical"
Synthesia,synthesia,AI video creation platform with 230+ AI avatars for generating professional training and communications videos.,AI avatar video creation for enterprise,video-audio,https://synthesia.io,False,Beginner,88,core,L&D teams and HR departments creating training and onboarding videos.,"video, marketing"
D-ID,d-id,"AI platform that animates still photos into talking videos with lip-sync and voice, ideal for personalized video outreach.",Animate still photos into talking AI videos,video-audio,https://d-id.com,False,Beginner,84,curated,Sales teams and marketers creating personalized video messages.,"video, magic"
Opus Clip,opus-clip,"AI tool that automatically clips long-form videos into viral short-form content with captions, hooks, and emojis.",AI-powered short clip creator from long videos,video-audio,https://opus.pro,False,Beginner,91,curated,"YouTubers, podcasters, and content creators repurposing long-form content.","video, fast"
Captions.ai,captions-ai,"AI video editing app adding animated captions, eye contact correction, and filler word removal to talking head videos.",AI captions and video enhancement for creators,video-audio,https://captions.ai,False,Beginner,87,curated,TikTok and Instagram creators making talking-head video content.,"video, fast"
Murf AI,murf-ai,"AI voice generator and studio with 200+ realistic voices, pitch control, and background music for voiceovers.",Professional AI voiceover studio,video-audio,https://murf.ai,False,Beginner,86,curated,"E-learning creators, advertisers, and explainer video makers.","audio, fast"
Podcastle,podcastle,AI-powered podcast recording and editing platform with magic dust audio enhancement and AI voice cloning.,AI podcast recording and editing suite,video-audio,https://podcastle.ai,False,Beginner,84,curated,Podcasters who want professional audio quality without expensive equipment.,audio
Adobe Podcast,adobe-podcast,Adobe's AI audio tool featuring Enhance Speech that removes background noise and makes any microphone sound studio-quality.,AI audio enhancement for clear podcast audio,video-audio,https://podcast.adobe.com,False,Beginner,88,curated,Podcasters and presenters recording in imperfect acoustic environments.,"audio, magic"
Udio,udio,"AI music generation platform creating high-fidelity, genre-specific music tracks with custom lyrics from text prompts.",High-fidelity AI music and song generation,video-audio,https://udio.com,False,Beginner,91,curated,"Musicians, content creators, and filmmakers needing custom soundtracks.","audio, creative"
Beatoven.ai,beatoven-ai,"AI music composer that generates royalty-free background music tailored to your video mood, genre, and duration.",Royalty-free AI background music generator,video-audio,https://beatoven.ai,False,Beginner,82,curated,Video editors and content creators needing copyright-safe background music.,audio
Stable Audio,stable-audio,Stability AI's generative audio model for creating high-quality sound effects and music from detailed text prompts.,AI sound effects and music from Stability AI,video-audio,https://stability.ai/stable-audio,False,Beginner,85,curated,Sound designers and content creators needing bespoke audio assets.,"audio, open-source"
Whisk,google-whisk,"Google's experimental image generation tool that lets you remix subjects, scenes, and styles from reference images.",Remix images with subject and style control,image-generation,https://labs.google/whisk,False,Beginner,84,curated,Creative explorers who want to blend visual concepts from reference photos.,"design, creative"
Ideogram,ideogram,"AI image generator that excels at generating accurate text within images, perfect for logos, posters, and typography.",AI image generation with accurate text rendering,image-generation,https://ideogram.ai,False,Beginner,89,core,"Designers who need AI images containing legible, custom text.","design, creative"
Leonardo AI,leonardo-ai,"AI art generation platform with model fine-tuning, real-time canvas, and motion video tools for game and concept art.",AI art generation for game and concept artists,image-generation,https://leonardo.ai,False,Intermediate,90,core,"Game developers, concept artists, and world-builders.","design, creative, technical"
Flux,flux-ai,Black Forest Labs' open-source image generation model known for photorealistic quality and exceptional prompt adherence.,Photorealistic open-source image generation,image-generation,https://blackforestlabs.ai,False,Intermediate,92,core,AI artists and developers who want state-of-the-art open model quality.,"open-source, design, technical"
Adobe Express,adobe-express,"Adobe's simplified design tool with AI-powered features for quick creation of social posts, logos, and marketing materials.",Quick AI-powered social and marketing design,design,https://adobe.com/express,False,Beginner,84,curated,Small businesses and social media managers needing fast branded content.,"design, fast"
Looka,looka,AI-powered brand and logo maker that generates professional logos and complete brand kits from style preferences.,AI logo and brand identity generator,design,https://looka.com,False,Beginner,82,curated,Entrepreneurs and startups creating their brand identity from scratch.,design
Brandmark,brandmark,"AI logo design tool that generates unique, professional logos with color palettes, fonts, and brand guidelines.",AI-generated logos with full brand guidelines,design,https://brandmark.io,False,Beginner,80,curated,Solo founders and small businesses needing an affordable professional logo.,design
Uizard,uizard,"AI-powered UI design tool turning wireframe sketches, screenshots, and text prompts into editable app prototypes.",AI UI prototyping from sketches and text,design,https://uizard.io,False,Beginner,83,curated,Product managers and non-designers who need rapid UI mockups.,"design, coding"
Framer AI,framer-ai,AI-powered web design and publishing platform that generates entire website layouts from text prompts and publishes instantly.,AI website generation and publishing,design,https://framer.com,False,Intermediate,88,curated,Designers and founders who want beautiful published websites without coding.,"design, fast"
Relume,relume,AI tool that generates Webflow and Figma website sitemaps and wireframes from a single text brief in minutes.,AI sitemap and wireframe generation for Webflow,design,https://relume.io,False,Intermediate,85,curated,Web designers and agencies using Webflow who need rapid project scoping.,"design, fast"
Beautiful.ai,beautiful-ai,Presentation design platform with AI-powered smart slides that automatically adjust layout as you add content.,AI-powered smart slide presentations,productivity,https://beautiful.ai,False,Beginner,84,curated,Business professionals who need polished slides without design skills.,"presentations, fast"
Tome,tome-ai,AI-powered narrative presentation tool blending slide decks and scrollable documents with generative content.,AI narrative presentations and storytelling,productivity,https://tome.app,False,Beginner,83,curated,Founders and PMs who want to tell a compelling story with their data.,"presentations, creative"
Slides AI,slides-ai,Google Slides add-on that generates full presentation decks from a text prompt directly inside Google Workspace.,AI presentation generator inside Google Slides,productivity,https://slidesai.io,False,Beginner,78,curated,Google Workspace users wanting instant AI presentations without leaving Slides.,"presentations, fast"
Taskade,taskade,"AI-powered project management and task automation tool with built-in AI agents for research, writing, and workflows.",AI-powered project management with AI agents,productivity,https://taskade.com,False,Beginner,83,curated,Remote teams and individuals wanting smart project planning and execution.,"workflow, smart"
ClickUp AI,clickup-ai,AI writing and summarization features built into ClickUp project management for faster task creation and meeting summaries.,AI assistant inside ClickUp project management,productivity,https://clickup.com/ai,False,Beginner,82,curated,ClickUp users wanting AI-powered task management in their existing workflow.,"workflow, fast"
Motion,motion-ai,"AI scheduling app that automatically plans your day by intelligently scheduling tasks, meetings, and deep work blocks.",AI calendar and task scheduler for deep work,productivity,https://usemotion.com,False,Beginner,87,curated,Busy professionals with many tasks and meetings who struggle with time management.,"workflow, fast"
Reclaim.ai,reclaim-ai,"AI scheduling assistant that automatically finds the best time for tasks, habits, and meetings in Google Calendar.",AI scheduling optimization for Google Calendar,productivity,https://reclaim.ai,False,Beginner,85,curated,Knowledge workers who use Google Calendar and want smarter scheduling.,"workflow, fast"
Zapier AI,zapier-ai,AI-powered automation platform connecting 6000+ apps with natural language workflow creation and AI actions.,AI-powered automation for 6000+ app integrations,productivity,https://zapier.com/ai,False,Intermediate,88,core,Business owners and teams wanting to automate repetitive workflows without code.,"workflow, technical"
Make,make-ai,Visual automation platform (formerly Integromat) for building complex multi-step workflows with AI module support.,Visual no-code automation and workflow builder,productivity,https://make.com,False,Intermediate,87,core,Power users who need more control and logic than Zapier provides.,"workflow, technical"
n8n,n8n,"Open-source workflow automation tool with self-hosting option, AI integrations, and a powerful visual node editor.",Open-source self-hosted workflow automation,productivity,https://n8n.io,False,Advanced,89,core,Technical users who want full control over their automation infrastructure.,"open-source, workflow, technical"
Langchain,langchain,"Open-source framework for building LLM-powered applications with chains, agents, memory, and tool-use capabilities.",Framework for building LLM-powered AI apps,code-dev,https://langchain.com,False,Advanced,88,core,AI engineers building production-ready LLM applications and agents.,"technical, open-source, coding"
LlamaIndex,llamaindex,"Data framework for connecting custom data sources to LLMs, enabling retrieval-augmented generation (RAG) pipelines.",RAG framework for connecting data to LLMs,code-dev,https://llamaindex.ai,False,Advanced,86,core,AI developers building custom knowledge bases and document Q&A systems.,"technical, open-source, coding"
Hugging Face,hugging-face,"The GitHub of AI—a platform hosting 100k+ open-source models, datasets, and Spaces for AI app demos.",Open-source AI model hub and community,research,https://huggingface.co,False,Advanced,95,core,"AI researchers and developers accessing, sharing, and deploying ML models.","open-source, technical, smart"
Together AI,together-ai,"Cloud inference platform for running open-source models at high speed with a simple API, often cheaper than OpenAI.",Fast cloud API for open-source AI models,code-dev,https://together.ai,False,Advanced,84,curated,Developers wanting to deploy open-source LLMs affordably and at scale.,"technical, fast"
Groq,groq,AI inference hardware and API company delivering the world's fastest LLM token generation speeds via LPU chips.,Ultra-fast LLM inference with LPU hardware,code-dev,https://groq.com,False,Advanced,88,curated,Developers needing the absolute fastest inference for real-time AI applications.,"technical, fast"
Replicate,replicate,"Cloud platform for running AI models in one API call, covering image, video, audio, and text generation models.",Run any AI model via a single cloud API,code-dev,https://replicate.com,False,Intermediate,87,curated,Developers who want to experiment with many AI models without managing infra.,"technical, coding"
